Time Scale; Number of Packets; Total data (b); 
822.000000; 2555; 1925149; 
823.000000; 2539; 1915179; 
824.000000; 2609; 1946268; 
825.000000; 2652; 1983094; 
826.000000; 2721; 2031309; 
827.000000; 2423; 1814357; 
828.000000; 2444; 1821881; 
829.000000; 2593; 1936596; 
830.000000; 2045; 1529478; 
831.000000; 1800; 1349805; 
832.000000; 2970; 2218296; 
833.000000; 2446; 1829022; 
834.000000; 2758; 2079382; 
835.000000; 2634; 1975392; 
836.000000; 2283; 1708357; 
837.000000; 2201; 1659390; 
838.000000; 2352; 1755676; 
839.000000; 2721; 2033283; 
840.000000; 2203; 1656997; 
841.000000; 2663; 1998680; 
842.000000; 2789; 2098294; 
843.000000; 2187; 1631996; 
844.000000; 2163; 1620412; 
845.000000; 2479; 1854022; 
846.000000; 2514; 1887495; 
847.000000; 2528; 1889551; 
848.000000; 2605; 1959329; 
849.000000; 2727; 2045075; 
850.000000; 2622; 1951983; 
851.000000; 2387; 1787573; 
852.000000; 2704; 2038057; 
853.000000; 2711; 2031586; 
854.000000; 2304; 1734054; 
855.000000; 2808; 2103498; 
856.000000; 2365; 1770523; 
857.000000; 2799; 2104812; 
858.000000; 2257; 1688022; 
859.000000; 2067; 1549483; 
860.000000; 2052; 1540636; 
861.000000; 2104; 1567716; 
862.000000; 2746; 2049464; 
863.000000; 2766; 2075652; 
864.000000; 2832; 2116204; 
865.000000; 2174; 1621035; 
866.000000; 2085; 1574354; 
867.000000; 2699; 2014229; 
